date,number,total_rainfall,no_of_rainy_days,mean_temp,mean_sunshine_hrs,mean_relative_humidity
2014-01-01,1886.0,75.4,5,26.2,5.3,78.5
2014-02-01,1021.0,0.2,1,27.2,8.8,74.5
2014-03-01,868.0,66.0,6,27.9,8.0,76.0
2014-04-01,1252.0,110.0,17,28.2,5.7,80.0
2014-05-01,1435.0,125.8,18,28.6,5.8,80.2
2014-06-01,2185.0,71.4,11,29.0,6.0,77.5
2014-07-01,3567.0,148.6,15,28.7,5.5,78.3
2014-08-01,1768.0,241.0,20,27.7,4.5,79.7
2014-09-01,1441.0,83.6,9,28.5,7.0,75.6
2014-10-01,1313.0,120.0,10,28.4,6.0,77.0
2014-11-01,637.0,250.8,23,27.5,5.4,82.4
2014-12-01,933.0,245.6,17,27.0,3.7,82.6
2015-01-01,1193.0,79.6,6,26.9,7.4,77.6
2015-02-01,632.0,18.8,6,27.0,7.3,75.4
2015-03-01,420.0,84.4,5,28.2,7.3,75.8
2015-04-01,611.0,73.2,13,28.6,7.2,77.1
2015-05-01,595.0,89.0,12,28.7,5.8,78.9
2015-06-01,881.0,95.8,10,29.0,6.7,75.8
2015-07-01,1304.0,116.8,13,29.1,7.1,74.9
2015-08-01,942.0,185.8,11,28.4,6.1,76.7
2015-09-01,991.0,61.6,8,28.7,4.3,75.0
2015-10-01,1207.0,87.2,9,28.7,4.7,75.4
2015-11-01,993.0,72.6,13,28.0,4.8,79.1
2015-12-01,1513.0,302.3,19,27.7,5.3,81.1
2016-01-01,2947.0,126.6,15,28.3,7.2,79.6
2016-02-01,1926.0,186.0,10,27.8,6.5,78.8
2016-03-01,1443.0,6.2,6,29.0,8.0,74.7
2016-04-01,1158.0,89.8,14,29.4,7.0,75.6
2016-05-01,838.0,193.8,12,29.3,6.2,77.4
2016-06-01,796.0,162.8,13,28.5,5.4,77.7
2016-07-01,1162.0,168.6,20,28.4,6.3,77.3
2016-08-01,994.0,139.2,15,28.9,6.7,74.0
2016-09-01,720.0,118.9,15,28.3,5.5,73.9
2016-10-01,490.0,181.0,16,28.3,4.6,72.0
2016-11-01,313.0,290.2,20,27.4,3.5,77.6
2016-12-01,274.0,292.6,23,27.4,5.1,72.8
2017-01-01,358.0,197.6,21,26.9,4.8,84.8
2017-02-01,223.0,158.4,15,26.9,7.1,83.2
2017-03-01,147.0,136.2,11,27.4,6.1,82.5
2017-04-01,197.0,208.6,21,27.8,5.3,83.5
2017-05-01,212.0,190.0,15,28.5,5.9,82.8
2017-06-01,288.0,106.0,10,28.5,6.3,80.2
2017-07-01,292.0,79.6,9,28.3,7.0,79.6
2017-08-01,191.0,84.2,18,28.1,6.1,79.9
2017-09-01,190.0,124.4,19,28.0,5.7,81.0
2017-10-01,307.0,120.8,18,27.9,5.5,82.5
2017-11-01,155.0,268.6,24,27.1,4.2,86.3
2017-12-01,190.0,371.2,23,27.0,5.6,85.2
2018-01-01,298.0,287.0,25,26.1,4.1,86.6
2018-02-01,167.0,14.8,5,27.2,8.0,77.2
2018-03-01,134.0,44.6,10,28.0,6.4,78.4
2018-04-01,261.0,61.2,14,28.5,6.8,78.5
2018-05-01,241.0,132.2,19,28.7,5.8,79.0
2018-06-01,264.0,182.6,17,28.4,4.1,79.3
2018-07-01,247.0,143.2,10,28.5,6.1,77.7
2018-08-01,242.0,121.6,11,28.5,6.7,77.0
2018-09-01,227.0,144.4,13,28.0,6.0,77.1
2018-10-01,314.0,234.4,18,27.9,6.1,79.7
2018-11-01,355.0,169.6,27,27.3,3.8,83.2
2018-12-01,507.0,172.6,19,27.6,5.1,81.5
